id,entry_id,title,push_title,category,city,push_type,push_os,push_entire,test_mode,status,insert_time,operator,Receive/Send,Click/Show
17808,aa0f5883_ru,Facebook не нашел следов «вмешательства» России в референдум по Brexit,,News_Politics,,delay,all,False,0,3,2018-03-01 02:02:10,leiz,1/-=-,-/1=-
17809,b9531327_ru,Ученые связали непереносимость запаха пота и любовь к диктатуре,,Others,,delay,all,False,0,3,2018-03-01 02:06:19,leiz,-/-=-,-/-=-
17810,a499235f_ru,Стали известны секреты успеха Илона Маска,,Others,,delay,all,False,0,3,2018-03-01 02:08:30,leiz,-/-=-,-/-=-
17811,172e1dab_ru,Умер исполнитель главной роли в сериале «Богатые тоже плачут»,,News_Entertainment,,delay,all,False,0,3,2018-03-01 02:11:11,leiz,-/-=-,-/-=-
17812,2244f5d9_ru,Названа самая серьезная угроза для мирового бизнеса,,Business,,delay,all,False,0,3,2018-03-01 02:14:16,leiz,-/-=-,-/-=-
17813,91846c32_ru,Режиссер «Стражей галактики» раскрыл тайну одного из персонажей,,Others,,delay,all,False,0,3,2018-03-01 02:31:34,alexandr,-/-=-,-/-=-
17814,8988503b_ru,"Жириновский пообещал ""самую жесткую диктатуру"" в России в случае избрания",,Others,,delay,all,False,0,3,2018-03-01 02:42:46,alexandr,-/-=-,-/-=-
17815,c5d62592_ru,"""Газпром"" подтвердил обязательство выплатить ""Нафтогазу"" $2,56 млрд",,Others,,delay,all,False,0,3,2018-03-01 02:44:41,alexandr,-/-=-,-/-=-
17816,3a72e697_ru,Ди Каприо и Брэд Питт снимутся в новом фильме Тарантино,,News_Entertainment,,delay,all,False,0,3,2018-03-01 03:32:19,alexandr,-/-=-,-/-=-
17817,935796fb_ru,Минздрав: на рабочих местах могут ввести тестирование на наркотики и алкоголь,,Others,,delay,all,False,0,3,2018-03-01 05:09:18,leiz,1/-=-,-/-=-
17818,e637cee5_ru,Блогер показала идеальное тело пятилетней давности и ужаснулась,,Others,,delay,all,False,0,3,2018-03-01 05:19:52,leiz,-/-=-,-/-=-
17819,c290aceb_ru,Полиция предъявила Насте Рыбке новое обвинение,,Others,,delay,all,False,0,3,2018-03-01 05:25:37,leiz,71/-=-,-/1=-
17820,4cd07d6_ru,Звезда фильма «Голодные игры» рассказала о неприятном обращении с собой,,News_Entertainment,,delay,all,False,0,3,2018-03-01 05:55:46,leiz,-/-=-,-/-=-
17827,b0e44318_ru,Россиян предупредили об опасности популярного приложения для смартфонов,Забавный шпион,Technology,,immediately,all,True,0,3,2018-03-01 06:08:33,alexandr,2/-=-,-/2=-
17830,2999d031_ru,AliExpress запускает два новых сервиса в России,,Others,,delay,all,False,0,3,2018-03-01 06:17:47,lyudmilat,-/-=-,-/-=-
17832,e2ed08d8_ru,В марте изменятся российские ПДД,,Others,,delay,all,False,0,3,2018-03-01 06:19:16,lyudmilat,-/-=-,-/-=-
17837,7dafb0e_ru,Грудинин ушел из студии во время дебатов на Первом канале,,Others,,delay,all,False,0,3,2018-03-01 06:51:08,lyudmilat,-/-=-,-/-=-
17842,a5d0a1b2_ru,Дачную амнистию продлили еще на два года,,Others,,delay,all,False,0,3,2018-03-01 08:27:53,borisf,-/-=-,-/-=-
17843,a75e7e14_ru,Какие изменения ждут россиян с 1 марта,,Others,,delay,all,False,0,3,2018-03-01 08:54:19,leiz,74/-=-,-/-=-
17844,8e7bf495_ru,Пока вы спали: спортсмены из России снова стали сборной,,Others,,delay,all,False,0,3,2018-03-01 08:57:30,leiz,-/-=-,-/-=-
17845,284831be_ru,Послание Путина Федеральному собранию: онлайн,,Others,,delay,all,False,0,3,2018-03-01 09:01:38,lyudmilat,-/-=-,-/-=-
17846,d9c69c79_ru,Россия задумала отречься от Европейской конвенции по правам человека,,News_Politics,,delay,all,False,0,3,2018-03-01 09:05:00,lyudmilat,1/-=-,-/1=-
17847,ed854777_ru,В России появятся вытрезвители и скорая помощь по выведению из запоя,,Others,,delay,all,False,0,3,2018-03-01 09:14:48,lyudmilat,-/-=-,-/-=-
17848,25c57f6b_ru,Какие льготы положены работающим пенсионерам?,,Crime,,delay,all,False,0,3,2018-03-01 09:23:08,lyudmilat,-/-=-,-/-=-
17849,18ca44cf_ru,Пловчиха Юлия Ефимова прокомментировала слухи о своем аресте в США,,News_Entertainment,,delay,all,False,0,3,2018-03-01 09:23:11,leiz,-/-=-,-/-=-
17850,e4caef1c_ru,Роскомнадзор протестирует радиоконтроль на стадионах ЧМ-2018,,Technology,,delay,all,False,0,3,2018-03-01 09:29:36,alexandr,-/-=-,-/-=-
17852,96c16264_ru,Самолет из Ижевска приземлился в Москве с выключенным двигателем,,Others,,delay,all,False,0,3,2018-03-01 09:33:46,leiz,-/-=-,-/73=-
17853,b8c514b0_ru,20 лучших городов для весеннего путешествия,,Others,,delay,all,False,0,3,2018-03-01 09:33:54,aleksandrak,-/-=-,-/-=-
17854,6092b7ea_ru,Facebook запустил собственную биржу труда. Для России в том числе,,Others,,delay,all,False,0,3,2018-03-01 09:34:01,lyudmilat,-/-=-,-/-=-
17856,57731b7f_ru,AliExpress запустил свою социальную сеть,,Technology,,delay,all,False,0,3,2018-03-01 09:36:09,aleksandrak,-/-=-,-/-=-
17860,8bce17c4_ru,"Президент Туркмении распорядился выдать всем женщинам по $11,5",,Others,,delay,all,False,0,3,2018-03-01 09:41:16,aleksandrak,-/-=-,-/-=-
17861,f2d08c87_ru,Самый популярный музыкальный сервис Spotify решил выйти на биржу,,Others,,delay,all,False,0,3,2018-03-01 09:41:29,leiz,-/-=-,-/-=-
17866,3c29ba01_ru,У берегов США нашли массовое подводное захоронение людей,,Others,,delay,all,False,0,3,2018-03-01 09:47:31,aleksandrak,-/-=-,-/73=-
